year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2010,115910,113423,111717,110654,110084,106130,106106,104492,101462,97467,97117,94994,96052,97264,102087,110072,119236,124827,130835,133635,135031,128220,126409,121227,121129,119574,116418,114738,115801,115392,119170,116575,113330,115353,117441,122348,127807,126318,128657,128752,125617,123839,129357,136108,137305,137628,137186,127863,121840,118010,116355,116938,116255,117527,117658,115735,113018,115564,114303,112819,117211,121086,124734,125170,125944,123950,120794,112085,101818,89038,83971,83221,78742,73610,70071,65447,61982,59287,59438,56888,55651,51235,50088,45476,43237,40351,36588,33288,28598,26649,23310,15848,12447,9965,7342,5276,4000,2816,1905,1175,1659
2011,112114,117242,114285,112444,111284,110630,106635,106647,104977,102048,98015,97739,95569,96714,97927,103013,111375,120548,125842,131598,134392,135871,129507,128092,123000,122757,121305,117838,116119,117117,116651,120288,117607,114240,116325,118214,123075,128537,126962,129160,129253,126097,124264,129715,136384,137555,137755,137226,127901,121974,117928,116338,116806,116122,117308,117416,115345,112692,115157,113827,112255,116635,120378,123877,124276,124876,122744,119515,110835,100493,87771,82656,81757,77224,72024,68465,63635,60057,57266,57132,54407,52992,48318,46936,42238,39673,36671,32788,29336,24849,22744,19464,12916,9880,7754,5526,3845,2892,1939,1280,1770
2012,113487,113452,118224,115175,113245,112071,111392,107422,107344,105764,102808,98856,98629,96381,97609,98985,104481,112796,121689,126676,132567,135450,137497,131521,130118,125037,124490,122828,119227,117478,118444,117768,121436,118632,115207,117130,118980,123809,129270,127588,129679,129764,126538,124617,130098,136636,137748,137898,137278,127930,121914,117902,116312,116611,115969,117038,117095,114981,112345,114727,113352,111638,116033,119558,122986,123226,123668,121512,118171,109354,99169,86438,81285,80145,75556,70267,66606,61725,57911,55102,54609,51703,50073,45210,43585,38763,35969,32799,28890,25315,21024,18973,15878,10256,7544,5779,4008,2685,1968,1281,1836
2013,114008,114923,114560,119284,116244,114503,113296,112658,108794,108699,107081,104209,100061,100032,97749,99186,100828,106363,114346,122904,127904,133760,137057,139524,133695,132352,127065,126448,124412,120978,118886,119729,118927,122710,119737,116274,118107,119864,124598,130069,128219,130365,130336,127193,125086,130563,136946,138043,138135,137442,128023,121960,117866,116279,116447,115796,116870,116782,114677,111910,114213,112755,110979,115268,118680,121945,122064,122449,120131,116767,107858,97649,85029,79797,78497,73736,68405,64634,59719,55810,52721,51954,48943,47027,42043,40125,35319,32394,29097,25079,21604,17571,15371,12725,7985,5716,4222,2843,1798,1301,1879
2014,115880,115572,116389,115824,120492,117399,115815,114532,113879,109989,109902,108274,105408,101305,101373,99226,101189,102834,108138,115849,124520,129554,135798,139421,142236,136296,134947,129356,128645,126511,122865,120523,121331,120416,124243,121087,117510,119268,120856,125647,130962,129101,131158,131055,127838,125674,131068,137285,138342,138375,137714,128140,122017,117924,116249,116360,115673,116588,116483,114204,111448,113642,112133,110262,114477,117762,120825,120826,121041,118684,115197,106231,96069,83575,78185,76680,71869,66386,62541,57605,53606,50319,49195,46047,43757,38810,36558,31865,28761,25494,21568,18171,14493,12322,9963,6108,4238,3027,1965,1188,1953
2015,115878,117932,117126,117959,117323,121939,118812,117296,115844,115227,111478,111213,109628,106775,102713,103068,101333,103533,104915,109623,117610,126403,131931,138372,142132,144757,138720,137158,131326,130452,128274,124410,122021,122756,121610,125573,122217,118600,120349,121831,126462,131896,129852,131978,131756,128466,126219,131506,137682,138550,138591,137863,128174,122028,117809,116144,116193,115464,116269,116124,113747,110925,113003,111434,109538,113621,116632,119621,119458,119599,117113,113419,104443,94357,81837,76379,74708,69855,64245,60290,55244,51049,47728,46168,42990,40316,35432,32881,28370,25109,21851,18170,14806,11550,9636,7567,4485,3016,2070,1316,1896
2016,119023,118568,120165,119153,120132,119333,123976,120669,119168,117707,116954,113211,112953,111360,108622,104892,105911,104610,106931,107268,112278,120432,129793,135551,142125,145685,148438,142442,140534,134588,133569,131209,127117,124426,124855,123625,127673,123947,120291,121781,123102,127729,133157,130869,132959,132611,129245,126930,132112,138093,138954,138974,138113,128430,122213,117870,116129,116039,115341,116039,115716,113231,110413,112354,110708,108662,112625,115530,118331,118118,117978,115476,111472,102537,92448,80107,74485,72620,67674,61900,57868,52646,48461,44952,43103,39712,36789,31966,29224,25054,21492,18259,14989,11864,8960,7369,5544,3170,2065,1426,1981
2017,116614,121975,120381,122058,121016,122021,121070,125729,122383,120977,119359,118671,114870,114492,113061,110574,107555,108792,109160,108757,108933,114019,122839,132667,138461,145054,148738,151450,145332,143429,137165,136071,133584,129254,126419,126796,125169,129247,125356,121625,123017,124185,128699,134121,131653,133700,133217,129846,127443,132471,138419,139195,139111,138181,128394,122179,117692,115964,115807,114972,115679,115173,112631,109732,111492,109841,107721,111517,114318,116995,116520,116256,113660,109518,100530,90457,78171,72401,70284,65287,59491,55248,49960,45542,41880,39850,36338,33148,28337,25492,21393,18054,15005,12021,9247,6749,5400,3968,2132,1331,2084
2018,116839,118762,123525,121822,123550,122475,123497,122487,127148,123866,122606,120841,120095,116282,115934,114377,112168,109105,111057,112806,111073,110328,115971,125252,134969,140855,147423,151231,154014,147799,145885,139381,138232,135535,131108,128100,128378,126526,130552,126563,122635,123958,125045,129436,134762,132282,134341,133675,130238,127803,132747,138591,139314,139149,138048,128318,122035,117411,115715,115488,114520,115131,114551,111936,108928,110550,108902,106604,110308,112947,115428,114877,114340,111644,107359,98295,88283,76006,70129,67906,62709,56824,52406,47049,42539,38765,36446,32839,29472,24781,21788,18013,14932,12034,9480,7006,4983,3873,2724,1403,2067
2019,115383,118776,120030,124681,122848,124569,123335,124541,123471,128168,124897,123654,121905,121199,117364,116944,115523,113220,110326,112896,116615,113130,112295,118181,127478,137195,143233,149623,153357,156288,149862,147879,141166,139859,137125,132541,129376,129609,127537,131535,127439,123405,124745,125676,129998,135272,132678,134736,133927,130479,127993,132894,138613,139269,138986,137804,128099,121763,117040,115402,115014,113959,114438,113841,111138,108095,109510,107927,105509,109007,111522,113904,113141,112310,109538,105077,95932,85993,73767,67829,65302,60124,54029,49510,44085,39486,35646,33049,29430,26018,21450,18531,15006,12119,9538,7317,5241,3655,2709,1854,2207
2020,113589,116591,119425,120470,125001,123143,124767,123691,124917,123837,128647,125330,124187,122480,121723,117918,117608,116079,113980,110991,113570,117660,114536,113938,119760,128988,138653,144512,151011,154595,157452,150996,148991,142050,140460,137857,133059,129857,130139,127818,131953,127705,123704,125029,125844,130115,135464,132842,134804,134002,130474,127911,132770,138414,139003,138715,137411,127690,121316,116541,114904,114409,113283,113641,112989,110223,107098,108404,106751,104258,107566,109846,112058,111095,110052,107099,102442,93151,83344,70979,65042,62228,56875,50651,46234,40534,35935,32151,29194,25560,22125,17922,15086,11928,9315,7135,5361,3710,2515,1770,2449
